"ACCID","STATEMENTID","YEAR","MONTH","OPENING_BALANCE","CLOSING_BALANCE","MIN_PAYMENT","TXN_COUNT",
"150094","44","2014","09","0.00","-296623.25","3376.75","1",
"150094","45","2014","10","-296623.25","-293246.50","3376.75","1",
"150094","46","2014","11","-293246.50","-289869.75","3376.75","1",
"150094","47","2014","12","-289869.75","-286493.00","3376.75","1",
"150094","48","2015","01","-286493.00","-283116.25","3376.75","1",
"150094","49","2015","02","-283116.25","-279739.50","3376.75","1",
"150094","50","2015","03","-279739.50","-276362.75","3376.75","1",
"150094","51","2015","04","-276362.75","-272986.00","3376.75","1",
"150095","52","2014","02","0.00","-995513.83","4486.17","1",
"150095","53","2014","03","-995513.83","-991027.67","4486.17","1",
"150095","54","2014","04","-991027.67","-986541.50","4486.17","1",
"150095","55","2014","05","-986541.50","-982055.33","4486.17","1",
"150095","56","2014","06","-982055.33","-977569.16","4486.17","1",
"150095","57","2014","07","-977569.16","-973083.00","4486.17","1",
"150095","58","2014","08","-973083.00","-968596.83","4486.17","1",
"150095","59","2014","09","-968596.83","-964110.66","4486.17","1",
"150095","60","2014","10","-964110.66","-959624.49","4486.17","1",
"150095","61","2014","11","-959624.49","-955138.33","4486.17","1",
"150095","62","2014","12","-955138.33","-950652.16","4486.17","1",
"150095","63","2015","01","-950652.16","-946165.99","4486.17","1",
"150095","64","2015","02","-946165.99","-941679.82","4486.17","1",
"150095","65","2015","03","-941679.82","-937193.66","4486.17","1",
"150095","66","2015","04","-937193.66","-932707.49","4486.17","1",
"150096","67","2013","06","0.00","-743731.37","6268.63","1",
"150096","68","2013","07","-743731.37","-737462.73","6268.63","1",
"150096","69","2013","08","-737462.73","-731194.10","6268.63","1",
"150096","70","2013","09","-731194.10","-724925.47","6268.63","1",
"150096","71","2013","10","-724925.47","-718656.83","6268.63","1",
"150096","72","2013","11","-718656.83","-712388.20","6268.63","1",
"150096","73","2013","12","-712388.20","-706119.56","6268.63","1",
"150096","74","2014","01","-706119.56","-699850.93","6268.63","1",
"150096","75","2014","02","-699850.93","-693582.30","6268.63","1",
"150096","76","2014","03","-693582.30","-687313.66","6268.63","1",
"150096","77","2014","04","-687313.66","-681045.03","6268.63","1",
"150096","78","2014","05","-681045.03","-674776.40","6268.63","1",
"150096","79","2014","06","-674776.40","-668507.76","6268.63","1",
"150096","80","2014","07","-668507.76","-662239.13","6268.63","1",
"150096","81","2014","08","-662239.13","-655970.50","6268.63","1",
"150096","82","2014","09","-655970.50","-649701.86","6268.63","1",
"150096","83","2014","10","-649701.86","-643433.23","6268.63","1",
"150096","84","2014","11","-643433.23","-637164.59","6268.63","1",
"150096","85","2014","12","-637164.59","-630895.96","6268.63","1",
"150096","86","2015","01","-630895.96","-624627.33","6268.63","1",
"150096","87","2015","02","-624627.33","-618358.69","6268.63","1",
"150096","88","2015","03","-618358.69","-612090.06","6268.63","1",
"150096","89","2015","04","-612090.06","-605821.43","6268.63","1",
"150097","90","2014","10","0.00","-1742.00","0.00","10",
"150097","91","2014","11","-1742.00","-2089.00","0.00","12",
"150097","92","2014","12","-2089.00","-2267.00","0.00","11",
"150097","93","2015","01","-2267.00","-2885.00","0.00","13",
"150097","94","2015","02","-2885.00","-1820.00","0.00","12",
"150097","95","2015","03","-1820.00","-1980.00","0.00","9",
"150097","96","2015","04","-1980.00","-1780.00","0.00","13",
"150098","97","2014","04","0.00","-241216.91","8783.09","1",
"150098","98","2014","05","-241216.91","-232433.82","8783.09","1",
"150098","99","2014","06","-232433.82","-223650.74","8783.09","1",
"150098","100","2014","07","-223650.74","-214867.65","8783.09","1",
"150098","101","2014","08","-214867.65","-206084.56","8783.09","1",
"150098","102","2014","09","-206084.56","-197301.47","8783.09","1",
"150098","103","2014","10","-197301.47","-188518.38","8783.09","1",
"150098","104","2014","11","-188518.38","-179735.29","8783.09","1",
"150098","105","2014","12","-179735.29","-170952.21","8783.09","1",
"150098","106","2015","01","-170952.21","-162169.12","8783.09","1",
"150098","107","2015","02","-162169.12","-153386.03","8783.09","1",
"150098","108","2015","03","-153386.03","-144602.94","8783.09","1",
"150098","109","2015","04","-144602.94","-135819.85","8783.09","1",
"150099","110","2013","05","0.00","-580.00","9.66","12",
"150099","111","2013","06","-580.00","-529.00","8.81","13",
"150099","112","2013","07","-529.00","-630.00","10.49","13",
"150099","113","2013","08","-630.00","-316.00","5.26","10",
"150099","114","2013","09","-316.00","-577.00","9.61","14",
"150099","115","2013","10","-577.00","-779.00","12.98","14",
"150099","116","2013","11","-779.00","-865.00","14.41","14",
"150099","117","2013","12","-865.00","-506.00","8.43","11",
"150099","118","2014","01","-506.00","-920.00","15.33","16",
"150099","119","2014","02","-920.00","-502.00","8.36","12",
"150099","120","2014","03","-502.00","-422.00","7.03","13",
