"ACCID","STATEMENTID","TX_ID","TX_DATE","AMOUNT","DESCRIPTION","CATEGORY",
"150094","44","1","2014-09-30","3376.75","PAYMENT IN","PAYMENT",
"150094","45","2","2014-10-31","3376.75","PAYMENT IN","PAYMENT",
"150094","46","3","2014-11-30","3376.75","PAYMENT IN","PAYMENT",
"150094","47","4","2014-12-31","3376.75","PAYMENT IN","PAYMENT",
"150094","48","5","2015-01-31","3376.75","PAYMENT IN","PAYMENT",
"150094","49","6","2015-02-28","3376.75","PAYMENT IN","PAYMENT",
"150094","50","7","2015-03-31","3376.75","PAYMENT IN","PAYMENT",
"150094","51","8","2015-04-30","3376.75","PAYMENT IN","PAYMENT",
"150095","52","9","2014-02-28","4486.17","PAYMENT IN","PAYMENT",
"150095","53","10","2014-03-31","4486.17","PAYMENT IN","PAYMENT",
"150095","54","11","2014-04-30","4486.17","PAYMENT IN","PAYMENT",
"150095","55","12","2014-05-31","4486.17","PAYMENT IN","PAYMENT",
"150095","56","13","2014-06-30","4486.17","PAYMENT IN","PAYMENT",
"150095","57","14","2014-07-31","4486.17","PAYMENT IN","PAYMENT",
"150095","58","15","2014-08-31","4486.17","PAYMENT IN","PAYMENT",
"150095","59","16","2014-09-30","4486.17","PAYMENT IN","PAYMENT",
"150095","60","17","2014-10-31","4486.17","PAYMENT IN","PAYMENT",
"150095","61","18","2014-11-30","4486.17","PAYMENT IN","PAYMENT",
"150095","62","19","2014-12-31","4486.17","PAYMENT IN","PAYMENT",
"150095","63","20","2015-01-31","4486.17","PAYMENT IN","PAYMENT",
"150095","64","21","2015-02-28","4486.17","PAYMENT IN","PAYMENT",
"150095","65","22","2015-03-31","4486.17","PAYMENT IN","PAYMENT",
"150095","66","23","2015-04-30","4486.17","PAYMENT IN","PAYMENT",
"150096","67","24","2013-06-30","6268.63","PAYMENT IN","PAYMENT",
"150096","68","25","2013-07-31","6268.63","PAYMENT IN","PAYMENT",
"150096","69","26","2013-08-31","6268.63","PAYMENT IN","PAYMENT",
"150096","70","27","2013-09-30","6268.63","PAYMENT IN","PAYMENT",
"150096","71","28","2013-10-31","6268.63","PAYMENT IN","PAYMENT",
"150096","72","29","2013-11-30","6268.63","PAYMENT IN","PAYMENT",
"150096","73","30","2013-12-31","6268.63","PAYMENT IN","PAYMENT",
"150096","74","31","2014-01-31","6268.63","PAYMENT IN","PAYMENT",
"150096","75","32","2014-02-28","6268.63","PAYMENT IN","PAYMENT",
"150096","76","33","2014-03-31","6268.63","PAYMENT IN","PAYMENT",
"150096","77","34","2014-04-30","6268.63","PAYMENT IN","PAYMENT",
"150096","78","35","2014-05-31","6268.63","PAYMENT IN","PAYMENT",
"150096","79","36","2014-06-30","6268.63","PAYMENT IN","PAYMENT",
"150096","80","37","2014-07-31","6268.63","PAYMENT IN","PAYMENT",
"150096","81","38","2014-08-31","6268.63","PAYMENT IN","PAYMENT",
"150096","82","39","2014-09-30","6268.63","PAYMENT IN","PAYMENT",
"150096","83","40","2014-10-31","6268.63","PAYMENT IN","PAYMENT",
"150096","84","41","2014-11-30","6268.63","PAYMENT IN","PAYMENT",
"150096","85","42","2014-12-31","6268.63","PAYMENT IN","PAYMENT",
"150096","86","43","2015-01-31","6268.63","PAYMENT IN","PAYMENT",
"150096","87","44","2015-02-28","6268.63","PAYMENT IN","PAYMENT",
"150096","88","45","2015-03-31","6268.63","PAYMENT IN","PAYMENT",
"150096","89","46","2015-04-30","6268.63","PAYMENT IN","PAYMENT",
"150097","90","47","2014-10-01","-285.00","LAUER'S SUPERMARKET AND BAKERY","ONLINE SHOPPING",
"150097","90","48","2014-10-06","-13.00","AVANZA SUPERMARKET","GROCERIES",
"150097","90","49","2014-10-09","-233.00","SQUIRES GARDEN CEN","SHOPPING",
"150097","90","50","2014-10-12","-182.00","NAT WEST BANK","CASH",
"150097","90","51","2014-10-16","-7.00","JEWEL ST PAULS LONDON","EATING OUT",
"150097","90","52","2014-10-19","-295.00","PREMIER TAXIS PTE LTD","TRAVEL",
